year,district_name,age,immigrants_percentage
2015,"Nou Barris",15-19,5.2127
2015,"Nou Barris",20-24,11.2003
2015,"Nou Barris",25-29,15.1310
2015,"Nou Barris",30-34,13.0037
2015,"Nou Barris",35-39,12.0175
2015,"Nou Barris",40-44,9.0589
2015,"Nou Barris",45-49,6.2835
2015,"Nou Barris",5-9,3.9870
2015,"Nou Barris",50-54,4.6492
2015,"Nou Barris",55-59,3.5080
2015,"Nou Barris",60-64,2.2964
2015,"Nou Barris",65-69,1.3525
2015,"Nou Barris",70-74,1.0144
2015,"Nou Barris",75-79,0.8171
2015,"Nou Barris",80-84,0.7608
2015,"Nou Barris",85-89,0.7185
2015,"Nou Barris",90-94,0.3381
2015,"Nou Barris",95-99,0.0423
2015,"Sant Andreu",>=100,0.0170
2015,"Sant Andreu",0-4,5.0775
2015,"Sant Andreu",10-14,3.1181
2015,"Sant Andreu",15-19,4.3278
2015,"Sant Andreu",20-24,9.9506
2015,"Sant Andreu",25-29,15.8971
2015,"Sant Andreu",30-34,14.6192
2015,"Sant Andreu",35-39,12.0975
2015,"Sant Andreu",40-44,8.9623
2015,"Sant Andreu",45-49,6.2191
2015,"Sant Andreu",5-9,3.9530
2015,"Sant Andreu",50-54,4.4812
2015,"Sant Andreu",55-59,3.0670
2015,"Sant Andreu",60-64,2.5047
2015,"Sant Andreu",65-69,1.6016
2015,"Sant Andreu",70-74,1.2609
2015,"Sant Andreu",75-79,0.8860
2015,"Sant Andreu",80-84,0.9712
2015,"Sant Andreu",85-89,0.6815
2015,"Sant Andreu",90-94,0.2385
2015,"Sant Andreu",95-99,0.0682
2015,"Sant Martí",>=100,0.0000
2015,"Sant Martí",0-4,4.9710
2015,"Sant Martí",10-14,3.4328
2015,"Sant Martí",15-19,3.9727
2015,"Sant Martí",20-24,9.1474
2015,"Sant Martí",25-29,17.1743
2015,"Sant Martí",30-34,16.0945
2015,"Sant Martí",35-39,12.5191
2015,"Sant Martí",40-44,8.8418
2015,"Sant Martí",45-49,5.8674
2015,"Sant Martí",5-9,3.4532
2015,"Sant Martí",50-54,4.0848
2015,"Sant Martí",55-59,3.1476
2015,"Sant Martí",60-64,2.2919
2015,"Sant Martí",65-69,1.8641
2015,"Sant Martí",70-74,1.1714
2015,"Sant Martí",75-79,0.5603
2015,"Sant Martí",80-84,0.7436
2015,"Sant Martí",85-89,0.4482
2015,"Sant Martí",90-94,0.1630
2015,"Sant Martí",95-99,0.0509
2015,Sants-Montjuïc,>=100,0.0358
2015,Sants-Montjuïc,0-4,3.4350
2015,Sants-Montjuïc,10-14,3.2919
2015,Sants-Montjuïc,15-19,4.3385
2015,Sants-Montjuïc,20-24,11.0743
2015,Sants-Montjuïc,25-29,20.1449
2015,Sants-Montjuïc,30-34,17.1482
2015,Sants-Montjuïc,35-39,12.4251
2015,Sants-Montjuïc,40-44,7.2905
2015,Sants-Montjuïc,45-49,5.2867
2015,Sants-Montjuïc,5-9,2.9162
2015,Sants-Montjuïc,50-54,3.7213
2015,Sants-Montjuïc,55-59,2.4779
2015,Sants-Montjuïc,60-64,2.0753
2015,Sants-Montjuïc,65-69,1.3507
2015,Sants-Montjuïc,70-74,0.8677
2015,Sants-Montjuïc,75-79,0.6709
2015,Sants-Montjuïc,80-84,0.5099
2015,Sants-Montjuïc,85-89,0.5457
2015,Sants-Montjuïc,90-94,0.3399
2015,Sants-Montjuïc,95-99,0.0537
2015,"Sarrià-Sant Gervasi",>=100,0.0000
2015,"Sarrià-Sant Gervasi",0-4,5.3655
2015,"Sarrià-Sant Gervasi",10-14,4.7222
2015,"Sarrià-Sant Gervasi",15-19,5.7310
2015,"Sarrià-Sant Gervasi",20-24,9.8246
2015,"Sarrià-Sant Gervasi",25-29,14.0936
